Genes
TCAM1P
YBX2
ZNF879
LINC00925
SYCP2
ARHGEF33
DHFR
SMC1B
CDKN2A
C19orf57
LMNB1
WNK3
ASF1B
SYNGR3
ANKRD32
MCM6
RP11-1020M18.10
ZYG11A
CDKN2A-AS1
MCM5
TIMELESS
ZNF367
ZFR2
FOLR3
FAM111B
WDR76
ZFP3
MCM3
RFC5
CDC7
GPR137C
MYO3A
CENPK
PODXL2
TLX2
TMPO
CDKN2C
IGFL3
MCM2
LINC01006
RP11-221N13.3
RP11-173C1.1
SYCE2
RIBC2
LINC01305
TP53
ZNF541
RAD9B
CTD-2587H24.5
TCP11
PSIP1
C5orf34
CCDC125
STAG3
RMI2
GLS2
HELLS
CHAF1B
DTL
ORC1
LIPE
STMN1
FOXRED2
PRIM1
HMGB2
RP11-254F7.2
TLX3
E2F2
DONSON
RPA2
CHAF1A
EZH2
BRIP1
KLHL35
GRIN2C
RANBP17
ZFPM2-AS1
HLTF
CCNE2
PRDM15
LIG1
FAM81A
ZNF396
ABCA17P
NUP210
ENDOD1
KCNS1
AC006014.8
SOX30
TCF19
GINS4
KNTC1
IL17RB
MEIS1
HENMT1
KIF24
RP11-890B15.2
MDM1
ZNF620
LINC01322
